VALIDATION: the kernel's deep vertical-bore machine (cap 0.15 m beyond F, r_cap 0.286, F2 3 m below F, no slot, no strut) against the torch twin, 128 x 512 rays, same noise draws, sigb 0.0043
    day/hour    el    who |  through   shadow     hole   no hit crossing     bore       M3      way   collar
  172/12      83.2 kernel |    80.6%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    12.6%
                     twin |    80.0%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    13.2%
   80/12      59.4 kernel |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
                     twin |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
   80/9       37.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
  355/12      36.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%

THE COUDE RELAY, midsummer noon (el 83), sigb 0.0043, with the sun's disc: stalk at (1.25, 0.0), deck z 3.6, M4 at z 5.35, stalk 1.4 m beside the axis, M3 patch r 0.55, M4 patch r 0.6, pivot bore r 0.3 over 0.4-1.0 m from the stalk, stalk r 0.46
(a first sweep, kept in the README: F2 at 1.2-1.5 m behind the vertex with M3 relaying 1:1 or magnifying lost 33-70 % of the rays in the pivot's bore - the cap's image, 10-14 cm rms at magnification 16-26, is too large for a 0.30 m bore with the cone it carries; so F2 comes in towards the vertex and M3 demagnifies)
neck   2c     d  mag   s1  s1p   s2  s2p hole | throug cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | rms radii cm: F2  M3  F3 piv  M4 F2c deck
 1.3 1.50  0.15   11 0.85 0.60 0.80 2.80 0.40 |  68.8%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%  17.0%   4.0%   0.0%   0.2%   0.0%   4.6% |  9.7 21.7  9.2 25.9 35.0 16.5  6.5
 1.3 1.50  0.15   11 0.85 0.60 0.80 2.80 0.50 |  67.1%   1.6%   4.2%   0.0%   0.0%   0.0%   1.7%  16.8%   3.9%   0.0%   0.2%   0.0%   4.4% | 10.0 21.8  9.3 26.0 35.0 16.5  6.6
 1.3 1.50  0.15   11 0.85 0.60 0.80 3.50 0.40 |  72.6%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%  17.0%   4.2%   0.0%   0.0%   0.0%   0.7% |  9.7 21.7  9.2 25.9 35.2 20.5  8.1
 1.3 1.50  0.15   11 0.85 0.60 0.80 3.50 0.50 |  70.8%   1.6%   4.2%   0.0%   0.0%   0.0%   1.7%  16.8%   4.2%   0.0%   0.0%   0.0%   0.7% | 10.0 21.8  9.3 26.0 35.2 20.5  8.2
 1.3 1.50  0.15   11 0.85 0.70 0.70 2.00 0.40 |  48.4%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   9.0%   3.1%   0.1%  12.3%   0.0%  21.9% |  9.7 21.8 10.0 20.3 32.2 17.3 12.6
 1.3 1.50  0.15   11 0.85 0.70 0.70 2.00 0.50 |  47.2%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   8.8%   3.0%   0.1%  12.0%   0.0%  21.4% | 10.0 22.0 10.0 20.4 32.2 17.3 12.6
 1.3 1.50  0.15   11 0.85 0.70 0.70 2.80 0.40 |  70.1%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   9.0%   3.5%   0.0%   3.0%   0.0%   9.1% |  9.7 21.8 10.0 20.3 32.5 23.6  8.6
 1.3 1.50  0.15   11 0.85 0.70 0.70 2.80 0.50 |  68.5%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   8.8%   3.4%   0.0%   2.9%   0.0%   8.8% | 10.0 22.0 10.0 20.4 32.6 23.6  8.6
 1.3 1.50  0.15   11 0.85 0.70 0.70 3.50 0.40 |  76.9%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   9.0%   3.7%   0.0%   0.8%   0.0%   4.2% |  9.7 21.8 10.0 20.3 32.7 29.2  7.9
 1.3 1.50  0.15   11 0.85 0.70 0.70 3.50 0.50 |  75.1%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   8.8%   3.7%   0.0%   0.8%   0.0%   4.1% | 10.0 22.0 10.0 20.4 32.7 29.2  8.0
 1.3 1.50  0.15   11 0.85 0.80 0.60 2.00 0.40 |  44.2%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   5.1%   2.7%   1.4%  20.4%   0.0%  21.0% |  9.7 21.9 10.9 17.0 29.6 24.3 18.8
 1.3 1.50  0.15   11 0.85 0.80 0.60 2.00 0.50 |  43.1%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   5.0%   2.6%   1.4%  19.9%   0.0%  20.5% | 10.0 22.1 10.9 17.0 29.6 24.3 18.8
 1.3 1.50  0.15   11 0.85 0.80 0.60 2.80 0.40 |  63.6%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   5.1%   3.0%   0.5%  10.3%   0.0%  12.2% |  9.7 21.9 10.9 17.0 29.9 33.1 14.0
 1.3 1.50  0.15   11 0.85 0.80 0.60 2.80 0.50 |  62.1%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   5.0%   3.0%   0.5%  10.1%   0.0%  11.9% | 10.0 22.1 10.9 17.0 29.9 33.1 14.1
 1.3 1.50  0.15   11 0.85 0.80 0.60 3.50 0.40 |  71.6%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%   5.1%   3.2%   0.3%   6.8%   0.0%   7.8% |  9.7 21.9 10.9 17.0 30.1 40.9 12.2
 1.3 1.50  0.15   11 0.85 0.80 0.60 3.50 0.50 |  69.9%   1.6%   4.2%   0.0%   0.0%   0.0%   1.6%   5.0%   3.1%   0.3%   6.6%   0.0%   7.6% | 10.0 22.1 10.9 17.0 30.1 40.9 12.2
 1.3 1.50  0.20    8 0.85 0.60 0.80 2.00 0.40 |  61.0%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%  10.9%   3.6%   0.0%   3.4%   0.0%  16.4% |  7.7 21.8  7.3 22.5 33.7 10.2  7.1
 1.3 1.50  0.20    8 0.85 0.60 0.80 2.00 0.50 |  59.5%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%  10.8%   3.6%   0.0%   3.3%   0.0%  16.0% |  7.8 21.9  7.3 22.6 33.8 10.2  7.1
 1.3 1.50  0.20    8 0.85 0.60 0.80 2.80 0.40 |  77.9%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%  10.9%   4.0%   0.0%   0.1%   0.0%   2.4% |  7.7 21.8  7.3 22.5 34.1 14.0  7.7
 1.3 1.50  0.20    8 0.85 0.60 0.80 2.80 0.50 |  75.9%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%  10.8%   4.0%   0.0%   0.1%   0.0%   2.3% |  7.8 21.9  7.3 22.6 34.2 14.0  7.8
 1.3 1.50  0.20    8 0.85 0.60 0.80 3.50 0.40 |  79.8%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%  10.9%   4.3%   0.0%   0.0%   0.0%   0.3% |  7.7 21.8  7.3 22.5 34.3 17.4  9.8
 1.3 1.50  0.20    8 0.85 0.60 0.80 3.50 0.50 |  77.8%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%  10.8%   4.2%   0.0%   0.0%   0.0%   0.3% |  7.8 21.9  7.3 22.6 34.4 17.4  9.9
 1.3 1.50  0.20    8 0.85 0.70 0.70 2.00 0.40 |  62.3%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   4.4%   2.7%   0.0%   6.8%   0.0%  19.1% |  7.7 21.9  7.9 17.2 30.2 14.3 10.5
 1.3 1.50  0.20    8 0.85 0.70 0.70 2.00 0.50 |  60.8%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   4.4%   2.7%   0.0%   6.6%   0.0%  18.7% |  7.8 22.1  7.9 17.2 30.3 14.3 10.5
 1.3 1.50  0.20    8 0.85 0.70 0.70 2.80 0.40 |  81.0%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   4.4%   3.0%   0.0%   1.2%   0.0%   5.7% |  7.7 21.9  7.9 17.2 30.6 19.6  8.2
 1.3 1.50  0.20    8 0.85 0.70 0.70 2.80 0.50 |  79.0%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   4.4%   3.0%   0.0%   1.2%   0.0%   5.5% |  7.8 22.1  7.9 17.2 30.7 19.6  8.3
 1.3 1.50  0.20    8 0.85 0.70 0.70 3.50 0.40 |  85.4%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   4.4%   3.2%   0.0%   0.3%   0.0%   2.0% |  7.7 21.9  7.9 17.2 30.7 24.4  8.6
 1.3 1.50  0.20    8 0.85 0.70 0.70 3.50 0.50 |  83.3%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   4.4%   3.2%   0.0%   0.3%   0.0%   2.0% |  7.8 22.1  7.9 17.2 30.9 24.4  8.7
 1.3 1.50  0.20    8 0.85 0.80 0.60 2.00 0.40 |  58.9%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   2.4%   1.7%   0.6%  11.8%   0.0%  20.0% |  7.7 22.0  8.6 14.3 26.6 19.7 15.3
 1.3 1.50  0.20    8 0.85 0.80 0.60 2.00 0.50 |  57.4%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   2.4%   1.7%   0.6%  11.5%   0.0%  19.6% |  7.8 22.2  8.6 14.4 26.7 19.7 15.3
 1.3 1.50  0.20    8 0.85 0.80 0.60 2.80 0.40 |  76.7%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   2.4%   1.9%   0.2%   4.7%   0.0%   9.4% |  7.7 22.0  8.6 14.3 26.8 27.1 11.8
 1.3 1.50  0.20    8 0.85 0.80 0.60 2.80 0.50 |  74.9%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   2.4%   1.9%   0.2%   4.6%   0.0%   9.2% |  7.8 22.2  8.6 14.4 26.9 27.1 11.9
 1.3 1.50  0.20    8 0.85 0.80 0.60 3.50 0.40 |  83.0%   2.8%   0.8%   0.0%   0.0%   0.0%   1.0%   2.4%   2.0%   0.1%   2.7%   0.0%   5.0% |  7.7 22.0  8.6 14.3 27.0 33.7 10.8
 1.3 1.50  0.20    8 0.85 0.80 0.60 3.50 0.50 |  81.0%   2.8%   3.0%   0.0%   0.0%   0.0%   1.0%   2.4%   2.0%   0.1%   2.7%   0.0%   4.8% |  7.8 22.2  8.6 14.4 27.1 33.7 10.8
 1.3 1.50  0.25    7 0.85 0.60 0.80 2.00 0.50 |  64.6%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   9.5%   3.8%   0.0%   2.3%   0.0%  13.3% |  6.4 23.7  6.5 21.9 34.6  8.8  6.6
 1.3 1.50  0.25    7 0.85 0.60 0.80 2.80 0.50 |  78.4%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   9.5%   4.3%   0.0%   0.1%   0.0%   1.3% |  6.4 23.7  6.5 21.9 35.0 12.2  9.1
 1.3 1.50  0.25    7 0.85 0.60 0.80 3.50 0.50 |  79.3%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   9.5%   4.5%   0.1%   0.0%   0.0%   0.1% |  6.4 23.7  6.5 21.9 35.2 15.1 11.6
 1.3 1.50  0.25    7 0.85 0.70 0.70 2.00 0.50 |  68.5%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   3.2%   2.3%   0.0%   4.0%   0.0%  15.5% |  6.4 23.8  7.0 16.2 30.0 12.2  9.1
 1.3 1.50  0.25    7 0.85 0.70 0.70 2.80 0.50 |  83.9%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   3.2%   2.6%   0.0%   0.6%   0.0%   3.3% |  6.4 23.8  7.0 16.2 30.4 16.9  8.6
 1.3 1.50  0.25    7 0.85 0.70 0.70 3.50 0.50 |  86.5%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   3.2%   2.7%   0.0%   0.2%   0.0%   0.9% |  6.4 23.8  7.0 16.2 30.5 21.0  9.8
 1.3 1.50  0.25    7 0.85 0.80 0.60 2.00 0.50 |  67.1%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   1.7%   1.2%   0.3%   6.6%   0.0%  16.4% |  6.4 23.9  7.6 13.8 25.5 16.9 13.2
 1.3 1.50  0.25    7 0.85 0.80 0.60 2.80 0.50 |  81.9%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   1.7%   1.4%   0.2%   2.2%   0.0%   6.0% |  6.4 23.9  7.6 13.8 25.7 23.3 10.9
 1.3 1.50  0.25    7 0.85 0.80 0.60 3.50 0.50 |  86.0%   4.4%   1.4%   0.0%   0.0%   0.0%   0.7%   1.7%   1.5%   0.1%   1.3%   0.0%   2.8% |  6.4 23.9  7.6 13.8 25.9 29.0 10.5
 1.3 1.80  0.15   13 0.55 0.60 0.80 2.00 0.40 |  27.9%   1.6%   2.0%   0.0%   0.0%   0.2%   2.1%  32.4%   2.1%   0.0%  13.0%   0.0%  18.6% | 11.4 18.0 63.6 1483347408.4 34.7 19.0 13.7
 1.3 1.80  0.15   13 0.55 0.60 0.80 2.00 0.50 |  27.2%   1.6%   4.2%   0.0%   0.0%   0.0%   2.2%  31.7%   2.1%   0.0%  12.7%   0.0%  18.2% | 11.7 18.0 64.0 1500735734.1 34.7 19.0 13.7
 1.3 1.80  0.15   13 0.55 0.60 0.80 2.80 0.40 |  47.3%   1.6%   2.0%   0.0%   0.0%   0.2%   2.1%  32.4%   2.5%   0.0%   2.5%   0.0%   9.4% | 11.4 18.0 63.6 1483347408.4 35.0 25.8  8.5
 1.3 1.80  0.15   13 0.55 0.60 0.80 2.80 0.50 |  46.2%   1.6%   4.2%   0.0%   0.0%   0.0%   2.2%  31.7%   2.4%   0.0%   2.4%   0.0%   9.2% | 11.7 18.0 64.0 1500735734.1 35.0 25.8  8.5
 1.3 1.80  0.15   13 0.55 0.60 0.80 3.50 0.40 |  54.3%   1.6%   2.0%   0.0%   0.0%   0.2%   2.1%  32.4%   2.7%   0.0%   0.3%   0.0%   4.4% | 11.4 18.0 63.6 1483347408.4 35.1 31.7  7.3
 1.3 1.80  0.15   13 0.55 0.60 0.80 3.50 0.50 |  53.0%   1.6%   4.2%   0.0%   0.0%   0.0%   2.2%  31.7%   2.6%   0.0%   0.3%   0.0%   4.3% | 11.7 18.0 64.0 1500735734.1 35.1 31.7  7.3
 1.3 1.80  0.15   13 0.55 0.70 0.70 2.00 0.40 |  24.8%   1.6%   2.0%   0.0%   0.0%   0.2%   1.9%  24.8%   2.0%   2.4%  23.9%   0.0%  16.3% | 11.4 18.1 85.9 1265871366.6 33.6 28.5 22.1
 1.3 1.80  0.15   13 0.55 0.70 0.70 2.00 0.50 |  24.2%   1.6%   4.2%   0.0%   0.0%   0.0%   2.1%  24.3%   2.0%   2.3%  23.3%   0.0%  15.9% | 11.7 18.2 86.8 1280689401.9 33.6 28.5 22.1
 1.3 1.80  0.15   13 0.55 0.70 0.70 2.80 0.40 |  41.4%   1.6%   2.0%   0.0%   0.0%   0.2%   1.9%  24.8%   2.4%   0.6%  14.0%   0.0%  11.0% | 11.4 18.1 85.9 1265871366.6 33.9 38.4 15.9
 1.3 1.80  0.15   13 0.55 0.70 0.70 2.80 0.50 |  40.5%   1.6%   4.2%   0.0%   0.0%   0.0%   2.1%  24.3%   2.3%   0.6%  13.6%   0.0%  10.7% | 11.7 18.2 86.8 1280689401.9 33.9 38.4 15.9
 1.3 1.80  0.15   13 0.55 0.70 0.70 3.50 0.40 |  49.5%   1.6%   2.0%   0.0%   0.0%   0.2%   1.9%  24.8%   2.6%   0.2%   9.2%   0.0%   7.9% | 11.4 18.1 85.9 1265871366.6 34.0 47.1 13.3
 1.3 1.80  0.15   13 0.55 0.70 0.70 3.50 0.50 |  48.3%   1.6%   4.2%   0.0%   0.0%   0.0%   2.1%  24.3%   2.5%   0.2%   9.0%   0.0%   7.7% | 11.7 18.2 86.8 1280689401.9 34.0 47.1 13.3
 1.3 1.80  0.15   13 0.55 0.80 0.60 2.00 0.40 |  20.2%   1.6%   2.0%   0.0%   0.0%   0.2%   1.8%  19.7%   1.8%  11.6%  28.3%   0.0%  12.8% | 11.4 18.2 62.0 941472384.5 32.4 43.1 35.1
 1.3 1.80  0.15   13 0.55 0.80 0.60 2.00 0.50 |  19.7%   1.6%   4.2%   0.0%   0.0%   0.0%   1.9%  19.3%   1.8%  11.3%  27.6%   0.0%  12.5% | 11.7 18.3 62.4 952510274.8 32.4 43.1 35.1
 1.3 1.80  0.15   13 0.55 0.80 0.60 2.80 0.40 |  31.8%   1.6%   2.0%   0.0%   0.0%   0.2%   1.8%  19.7%   2.1%   7.1%  23.1%   0.0%  10.4% | 11.4 18.2 62.0 941472384.5 32.7 57.4 28.2
 1.3 1.80  0.15   13 0.55 0.80 0.60 2.80 0.50 |  31.1%   1.6%   4.2%   0.0%   0.0%   0.0%   1.9%  19.3%   2.1%   6.9%  22.6%   0.0%  10.2% | 11.7 18.3 62.4 952510274.8 32.7 57.4 28.2
 1.3 1.80  0.15   13 0.55 0.80 0.60 3.50 0.40 |  38.2%   1.6%   2.0%   0.0%   0.0%   0.2%   1.8%  19.7%   2.3%   5.3%  20.9%   0.0%   7.9% | 11.4 18.2 62.0 941472384.5 32.8 70.0 25.0
 1.3 1.80  0.15   13 0.55 0.80 0.60 3.50 0.50 |  37.3%   1.6%   4.2%   0.0%   0.0%   0.0%   1.9%  19.3%   2.2%   5.2%  20.4%   0.0%   7.7% | 11.7 18.3 62.4 952510274.8 32.8 70.0 25.0
 1.3 1.80  0.20   10 0.55 0.60 0.80 2.00 0.40 |  40.9%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  19.1%   2.3%   0.0%  11.2%   0.0%  21.5% |  9.0 16.1 777.9 1214625045.2 33.0 17.0 12.3
 1.3 1.80  0.20   10 0.55 0.60 0.80 2.00 0.50 |  39.9%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  18.7%   2.3%   0.0%  10.9%   0.0%  21.0% |  9.1 16.2 786.9 1142046603.1 33.0 17.0 12.3
 1.3 1.80  0.20   10 0.55 0.60 0.80 2.80 0.40 |  62.5%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  19.1%   2.7%   0.0%   2.0%   0.0%   8.8% |  9.0 16.1 777.9 1214625045.2 33.2 23.2  8.1
 1.3 1.80  0.20   10 0.55 0.60 0.80 2.80 0.50 |  61.1%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  18.7%   2.6%   0.0%   1.9%   0.0%   8.6% |  9.1 16.2 786.9 1142046603.1 33.3 23.2  8.1
 1.3 1.80  0.20   10 0.55 0.60 0.80 3.50 0.40 |  69.2%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  19.1%   2.9%   0.0%   0.4%   0.0%   3.5% |  9.0 16.1 777.9 1214625045.2 33.4 28.6  7.6
 1.3 1.80  0.20   10 0.55 0.60 0.80 3.50 0.50 |  67.5%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  18.7%   2.9%   0.0%   0.4%   0.0%   3.4% |  9.1 16.2 786.9 1142046603.1 33.4 28.6  7.6
 1.3 1.80  0.20   10 0.55 0.70 0.70 2.00 0.40 |  37.0%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  13.4%   2.0%   1.4%  20.9%   0.0%  20.4% |  9.0 16.2 33.0 917616388.9 31.3 24.5 18.9
 1.3 1.80  0.20   10 0.55 0.70 0.70 2.00 0.50 |  36.2%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  13.1%   1.9%   1.4%  20.4%   0.0%  19.9% |  9.1 16.2 33.3 928358388.5 31.3 24.5 18.9
 1.3 1.80  0.20   10 0.55 0.70 0.70 2.80 0.40 |  57.1%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  13.4%   2.3%   0.5%  10.2%   0.0%  11.7% |  9.0 16.2 33.0 917616388.9 31.5 33.3 13.6
 1.3 1.80  0.20   10 0.55 0.70 0.70 2.80 0.50 |  55.8%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  13.1%   2.3%   0.5%   9.9%   0.0%  11.4% |  9.1 16.2 33.3 928358388.5 31.5 33.3 13.6
 1.3 1.80  0.20   10 0.55 0.70 0.70 3.50 0.40 |  65.4%   3.0%   0.6%   0.0%   0.0%   0.1%   1.2%  13.4%   2.5%   0.2%   6.0%   0.0%   7.6% |  9.0 16.2 33.0 917616388.9 31.7 41.0 11.6
 1.3 1.80  0.20   10 0.55 0.70 0.70 3.50 0.50 |  63.9%   3.0%   2.8%   0.0%   0.0%   0.0%   1.2%  13.1%   2.5%   0.2%   5.8%   0.0%   7.4% |  9.1 16.2 33.3 928358388.5 31.7 41.0 11.6
 1.3 1.80  0.20   10 0.55 0.80 0.60 2.00 0.40 |  30.7%   3.0%   0.6%   0.0%   0.0%   0.1%   1.1%  10.2%   1.7%   7.3%  27.8%   0.0%  17.4% |  9.0 16.2 91.0 476673905.2 29.6 35.4 28.5
 1.3 1.80  0.20   10 0.55 0.80 0.60 2.00 0.50 |  30.0%   3.0%   2.8%   0.0%   0.0%   0.0%   1.1%  10.0%   1.7%   7.1%  27.2%   0.0%  17.0% |  9.1 16.3 92.0 482254825.9 29.6 35.4 28.5
 1.3 1.80  0.20   10 0.55 0.80 0.60 2.80 0.40 |  46.1%   3.0%   0.6%   0.0%   0.0%   0.1%   1.1%  10.2%   2.1%   4.1%  20.0%   0.0%  12.8% |  9.0 16.2 91.0 476673905.2 29.8 47.6 22.8
 1.3 1.80  0.20   10 0.55 0.80 0.60 2.80 0.50 |  45.1%   3.0%   2.8%   0.0%   0.0%   0.0%   1.1%  10.0%   2.0%   4.0%  19.5%   0.0%  12.5% |  9.1 16.3 92.0 482254825.9 29.9 47.6 22.8
 1.3 1.80  0.20   10 0.55 0.80 0.60 3.50 0.40 |  54.0%   3.0%   0.6%   0.0%   0.0%   0.1%   1.1%  10.2%   2.2%   3.0%  17.0%   0.0%   8.9% |  9.0 16.2 91.0 476673905.2 30.0 58.5 20.2
 1.3 1.80  0.20   10 0.55 0.80 0.60 3.50 0.50 |  52.7%   3.0%   2.8%   0.0%   0.0%   0.0%   1.1%  10.0%   2.1%   2.9%  16.5%   0.0%   8.7% |  9.1 16.3 92.0 482254825.9 30.0 58.5 20.2
 1.3 1.80  0.25    8 0.55 0.60 0.80 2.00 0.50 |  50.7%   4.6%   1.2%   0.0%   0.0%   0.0%   0.8%  11.9%   2.3%   0.0%   8.2%   0.0%  20.3% |  7.5 15.9 34.4 913059270.7 31.6 15.1 10.8
 1.3 1.80  0.25    8 0.55 0.60 0.80 2.80 0.50 |  70.9%   4.6%   1.2%   0.0%   0.0%   0.0%   0.8%  11.9%   2.6%   0.0%   1.2%   0.0%   6.8% |  7.5 15.9 34.4 913059270.7 31.9 20.6  7.9
 1.3 1.80  0.25    8 0.55 0.60 0.80 3.50 0.50 |  76.2%   4.6%   1.2%   0.0%   0.0%   0.0%   0.8%  11.9%   2.8%   0.0%   0.2%   0.0%   2.2% |  7.5 15.9 34.4 913059270.7 32.1 25.5  8.1
 1.3 1.80  0.25    8 0.55 0.70 0.70 2.00 0.50 |  47.0%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   7.8%   1.9%   0.8%  15.3%   0.0%  20.7% |  7.5 16.0 28.6 822153691.9 29.3 21.2 16.3
 1.3 1.80  0.25    8 0.55 0.70 0.70 2.80 0.50 |  66.6%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   7.8%   2.2%   0.3%   6.3%   0.0%  10.3% |  7.5 16.0 28.6 822153691.9 29.6 29.0 12.0
 1.3 1.80  0.25    8 0.55 0.70 0.70 3.50 0.50 |  73.8%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   7.8%   2.4%   0.1%   3.4%   0.0%   6.0% |  7.5 16.0 28.6 822153691.9 29.7 35.8 10.5
 1.3 1.80  0.25    8 0.55 0.80 0.60 2.00 0.50 |  40.2%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   5.7%   1.5%   4.1%  22.9%   0.0%  19.0% |  7.5 16.1 27.4 457872742.0 27.3 30.0 24.0
 1.3 1.80  0.25    8 0.55 0.80 0.60 2.80 0.50 |  56.7%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   5.7%   1.8%   2.3%  14.5%   0.0%  12.5% |  7.5 16.1 27.4 457872742.0 27.5 40.7 19.2
 1.3 1.80  0.25    8 0.55 0.80 0.60 3.50 0.50 |  64.3%   4.6%   1.2%   0.0%   0.0%   0.0%   0.7%   5.7%   1.9%   1.7%  11.4%   0.0%   8.5% |  7.5 16.1 27.4 457872742.0 27.6 50.2 17.1
 1.8 1.20  0.15    9 1.65 0.60 0.80 2.00 0.40 |  48.2%   1.4%   2.2%   0.0%   0.0%   0.2%   9.2%  19.3%   8.4%   0.0%   1.3%   0.0%   9.8% |  8.0 37.9  3.3 27.2 42.1  5.6  5.1
 1.8 1.20  0.15    9 1.65 0.60 0.80 2.00 0.50 |  46.6%   1.4%   4.4%   0.0%   0.0%   0.0%   9.3%  19.2%   8.3%   0.0%   1.3%   0.0%   9.5% |  8.2 38.3  3.3 27.4 42.4  5.6  5.1
 1.8 1.20  0.15    9 1.65 0.60 0.80 2.80 0.40 |  58.1%   1.4%   2.2%   0.0%   0.0%   0.2%   9.2%  19.3%   9.2%   0.3%   0.0%   0.0%   0.1% |  8.0 37.9  3.3 27.2 42.9  7.7 11.0
 1.8 1.20  0.15    9 1.65 0.60 0.80 2.80 0.50 |  56.2%   1.4%   4.4%   0.0%   0.0%   0.0%   9.3%  19.2%   9.1%   0.3%   0.0%   0.0%   0.1% |  8.2 38.3  3.3 27.4 43.2  7.7 11.1
 1.8 1.20  0.15    9 1.65 0.60 0.80 3.50 0.40 |  57.6%   1.4%   2.2%   0.0%   0.0%   0.2%   9.2%  19.3%   9.6%   0.5%   0.0%   0.0%   0.0% |  8.0 37.9  3.3 27.2 43.4  9.6 14.5
 1.8 1.20  0.15    9 1.65 0.60 0.80 3.50 0.50 |  55.7%   1.4%   4.4%   0.0%   0.0%   0.0%   9.3%  19.2%   9.5%   0.5%   0.0%   0.0%   0.0% |  8.2 38.3  3.3 27.4 43.7  9.6 14.6
 1.8 1.20  0.15    9 1.65 0.70 0.70 2.00 0.40 |  61.8%   1.4%   2.2%   0.0%   0.0%   0.2%   9.3%   4.8%   4.2%   0.0%   2.5%   0.0%  13.6% |  8.0 38.0  3.6 17.1 36.4  7.6  5.7
 1.8 1.20  0.15    9 1.65 0.70 0.70 2.00 0.50 |  60.1%   1.4%   4.4%   0.0%   0.0%   0.0%   9.4%   4.8%   4.2%   0.0%   2.4%   0.0%  13.3% |  8.2 38.4  3.6 17.2 36.6  7.6  5.8
 1.8 1.20  0.15    9 1.65 0.70 0.70 2.80 0.40 |  76.0%   1.4%   2.2%   0.0%   0.0%   0.2%   9.3%   4.8%   5.0%   0.2%   0.0%   0.0%   0.9% |  8.0 38.0  3.6 17.1 36.9 10.5  9.5
 1.8 1.20  0.15    9 1.65 0.70 0.70 2.80 0.50 |  73.9%   1.4%   4.4%   0.0%   0.0%   0.0%   9.4%   4.8%   5.0%   0.2%   0.0%   0.0%   0.9% |  8.2 38.4  3.6 17.2 37.1 10.5  9.6
